full_name,rank
uncleleonfan/FanChat,319.5
KingsMentor/MobileVisionBarcodeScanner,319.5
MartinRGB/RapidInterpolator,321.0
gjiazhe/ScrollParallaxImageView,326.0
hejunlin2013/LivePlayback,332.0
peng8350/JPTabBar,345.0
julian-klode/dns66,355.0
wangshaolei/UnderLineLinkTextView,357.0
NodensN/MediaPickerInstagram,359.0
HuanHaiLiuXin/SnackbarUtils,361.0
githubwing/ThreeDLayout,364.0
json-iterator/java,365.5
czy1121/badgebutton,368.0
baidao/tinker-manager,368.0
jrummyapps/html-builder,368.0
SwiftyWang/FingerColoring-Android,370.5
yingLanNull/AlphaTabsIndicator,372.0
JakeWharton/RxWindowIfChanged,373.5
proninyaroslav/libretorrent,392.5
andyxialm/TyperEditText,397.0
bingoogolapple/BGASwipeBackLayout-Android,400.0
memfis19/Cadar,407.0
Bakumon/NumberAnimTextView,417.0
vipshop/Saturn,418.5
mayubao/KuaiChuan,418.5
czy1121/settingscompat,423.0
yuweiguocn/SquareLoading,426.0
ronaldsmartin/Material-ViewPagerIndicator,426.0
Netflix/hollow,435.0
SuperMan42/MVP,437.0
rubensousa/RaiflatButton,439.5
mcxtzhang/SwipeCaptcha,439.5
developer-shivam/Diagonalify,439.5
yingLanNull/CircleAlarmTimerView,447.0
pcevikogullari/AndroidShortcuts,447.0
IntruderShanky/Frisson,450.5
Freshman111/VerificationCodeView,452.0
SmartisanTech/packages_apps_OneStep,453.0
smart-fun/SmartFonts,456.5
alexjlockwood/adp-delightful-details,458.5
gjiazhe/MultiChoicesCircleButton,460.5
vivian8725118/ZXingGenerator,475.0
vaigunth/card-printer,479.0
yanzhenjie/album,479.0
thingsboard/thingsboard,484.0
diamondlin2016/LauncherView,486.0
jrvansuita/GaussianBlur,486.0
ladingwu/ApplicationDemo,492.0
codbking/CalendarExaple,492.0
czy1121/noticeview,496.0
androidessence/PinchZoomTextView,498.5
yakivmospan/scytale,503.0
Yellow5A5/ClearScreenHelper,512.5
FJ917/FJEditTextCount,517.0
wangshaolei/AutoFillEmailEditText,517.0
dianping/pigeon,521.5
jparkie/PDD,525.0
guolindev/booksource,525.0
Jasonette/JASONETTE-Android,531.5
limedroid/XRichText,531.5
czy1121/roundbutton,539.0
armcha/Vertical-Intro,551.0
xenione/tab-digit,559.5
czy1121/loadinglayout,559.5
HalfStackDeveloper/SwipeCardRecyclerView,564.5
zhihu/mirror,568.5
closedevice/FastApp,572.5
wuapnjie/SuspensionBar,578.5
VictorAlbertos/SwipeCoordinator,578.5
zhonghanwen/ColorTextView,578.5
zhangyuChen1991/OverWatchLoading,586.0
CGmaybe10/FocusSurfaceView,586.0
huage2580/ZuiMeiTAG,586.0
ittianyu/MobileGuard,591.0
maoruibin/ReView,597.5
yegor256/eo,602.5
codemybrainsout/smart-app-rate,608.0
apache/incubator-rocketmq,608.0
lawloretienne/MovieHub,611.5
Stuie/papercut,617.0
githubwing/ExpandableViewpager,626.0
LuoboDcom/ZZShow,629.0
liuguangqiang/RippleLayout,631.5
Karumi/KataScreenshotAndroid,640.5
AmniX/AdBlockedWebView-Android,640.5
Assassinss/Interessant,646.5
gavinliu/SimpleOneStep,650.0
RiccardoMoro/LongPressPopup,670.0
Hitomis/CrazyShadow,672.5
yanbober/AvatarLabelView,672.5
florent37/SingleDateAndTimePicker,676.5
limedroid/XDroidMvp,679.5
munix/LogcatTextView,682.5
RameshBhupathi/CollapsingToolbar-With-Webview,693.0
DaylightingSociety/WhereAreTheEyes,695.5
google/conscrypt,698.5
mcxtzhang/all-base-adapter,698.5
gavinliu/NotificationBox,703.5
songixan/SmileRefresh,703.5
lopei/collageview,710.5
CarGuo/RecordWave,710.5
Sloy/preferator,721.5
zuoweitan/CircleImageView,728.0
aykuttasil/CallRecorder,731.5
burgessjp/GetWordTextView,755.5
yiyuanliu/FlipGank,755.5
a-voyager/WeekToDo,767.5
fashare2015/ActivityTracker,773.0
MatteoBattilana/WeatherView,789.5
asmcup/runtime,789.5
AndroidMsky/WXhongbao,797.5
liudongmiao/Brevent,801.5
samanyougarg/ABR-App-Backup-Restore,806.0
Tesco/mewbase,826.0
ChyengJason/ShoppingCart,829.0
TinkoffCreditSystems/decoro,840.5
niuxiaowei/SimpleJavaJsBridge,860.0
uptechteam/MotionViews-Android,865.5
jineshfrancs/ThemedGoogleMap,865.5
kevalpatel2106/Prevent-Screen-Off,870.5
uin3566/DragFooterView,870.5
jaychang0917/SocialLoginManager,874.5
zaaach/TopRightMenu,874.5
androidthings/new-project-template,882.0
mcxtzhang/PathAnimView,897.5
andyxialm/CutoLoadingView,905.5
ssseasonnn/PracticalRecyclerView,921.0
samanyougarg/Currency-Converter-Android,933.0
gnehsuy/TaoBaoUI,946.0
ImmortalZ/Learn_Depth,946.0
chenenyu/Router,959.0
tarek360/Animated-Icons,959.0
peng8350/LoadingProgress,959.0
BeppiMenozzi/TriStateToggleButton,966.5
TellH/RecyclerTreeView,966.5
ittianyu/BottomNavigationViewEx,966.5
Ishmeetsingh97/FontometricsLibrary,976.0
gsh199449/spider,976.0
HalfStackDeveloper/FloatBall,986.0
tensorflow/ecosystem,986.0
0ximDigital/RxAnimations,1006.5
limedroid/TagEditText,1022.0
kalessil/phpinspectionsea,1034.5
jiang111/ZhiHu-TopAnswer,1042.0
wuyinlei/MyHearts,1042.0
AndroidDeveloperLB/RootHelper,1058.5
spotbugs/spotbugs,1058.5
Kapeli/Dash-iOS,10.0
Jasonette/JASONETTE-iOS,17.0
bikkelbroeders/TouchBarDemoApp,57.0
iphone5solo/PYSearch,70.0
gyjzh/LLWeChat,151.5
cyanzhong/Retriever,171.0
ptmt/react-native-tou
